Город;Область;Адрес;Почтовые индексы города;Телефон курьерской службы в городе
Артемевське;Донецька область;;;(062) 348-77-57, (067) 694-78-70
Біла Церква;Київська область;ул. Олеся Гончара, д. 8 ;9100;(044) 634-71-71      
Бердянськ;Запорiзька область;ул. Горького, д. 13/7, оф. 54 ;71100;(050) 486-47-93, (063) 071-16-22, (06153) 4-33-70, (06153) 4-33-70
Вінниця;;;;(097) 401-12-70
Горлівка;Донецька область;;;(062) 348-77-57, (067) 694-78-70
Дебальцеве;Донецька область;;;(062) 348-77-57, (067) 694-78-70
Дніпродзержинськ;Днiпропетровська область;ул. Славянская, д. 7, оф. 3 ;51900; (067) 318-10-49, (0569) 53-38-27
Дружківка;Донецька область;;;(062) 348-77-57, (067) 694-78-70
Єнакієве;Донецька область;;;(062) 348-77-57, (067) 694-78-70
Житомир;;пер. Парковый, д. 4, оф. 1 ;10000;(068) 386-04-72, (0412) 37-46-56
Івано-Франківськ;;ул. Северный бульвар, д. 2А ;76000;(067) 570-23-34, (0342) 73-54-53
Кам'янець-Подільський;Хмельницька область;;;(050) 256-97-31     
Кіровоград;;ул. Карла Маркса, д. 50, оф. 208 ;25000;(050) 917-71-57      
Конотоп;Сумська область;;;(097) 887-06-10      
Костянтинівка;Донецька область;;;(062) 348-77-57, (067) 694-78-70
Красноармійськ;Донецька область;;;(062) 348-77-57, (067) 694-78-70
Кременчук;Полтавська область;ул. Бутырина, д. 71, оф. 13 ;39600;(067) 573-21-86
Кривий Ріг;Днiпропетровська область;;;(067) 539-81-96, (056) 401-29-80
Луцьк;;пр-т Грушевского, д. 30, склад №2 ;43000;(095) 727-28-07, (0332) 77-63-51
Львів;;ул. Генерала Чупрынки, д. 58-А ;79000;(032) 243-83-39, (032) 237-77-10
Мелітополь;Запорiзька область;;;(062) 348-77-57, (067) 694-78-70
Мукачево;Закарпатська область;;;(050) 550-42-02
Рівне;;ул. Струтинской, д. 13, оф. 136;33000;(067) 364-31-10, (097) 838-21-13, (0362) 43-67-68
Севастополь;Автономна республiка Крим;;;(050) 647-03-48, (067) 692-45-51
Сєверодонецьк;Луганська область;;;(050) 683-70-28      
Сімферополь;Автономна республiка Крим;ул. Проездная, д. 15 ;95000;(050) 926-30-63, (093) 271-14-48, (0652) 66-31-12, (0652) 71-14-48 
Слов'янськ;Донецька область;;;(062) 348-77-57, (067) 694-78-70
Суми;;ул. Рабочая, д. 57, оф. 2;40000;(096) 855-91-59, (0542) 61-27-88
Тернопіль;;ул. Стецька, д. 5 ;46000;(0352) 42-34-53, (067)354-01-09
Ужгород;;"ул. Мукачевская, д. 25, м-н ""Лидер"" ";88000;(0312) 61-51-52
Умань;Черкаська область;ул. Парижской комуны, д. 5, оф. 61 ;20300;(096) 936-99-11      
Херсон;;ул. Белинского, д. 15, оф. 11 ;73000;(050) 504-13-49, (0552) 44-02-85
Хмельницький;;ул. Панаса Мирного, д. 23;29000;(097) 135-37-58, (095) 645-74-54
Черкаси;;ул. Ильина, д. 248а, оф. 314 ;18000;(067) 242-60-80, (0472) 56-80-31
Чернігів;;пр-т Победы, д. 129, оф. 23 ;14000;(050) 465-44-54      
Чернівці;;ул. Главная, д. 41в ;58000; (050) 434-35-34, (0372) 52-55-14
